0, The credit card transaction is pending.,warning
1, The credit card transaction is pending. The MPI status of the customer is checked.,warning
70, The refund is not processed.,error
71, The refund has been processed successfully.,success
72, There is an error in the refund.,error
73, The credit has been canceled.,error
74, Refund canceled. Insufficient funds.,error
75, Refund failed. Invalid account numbers.,error
76, The credit is refundable due to incorrect bank account details,error
90, This transaction has not yet been fully processed.,warning
91, This transaction was successfully processed.,success
100, The transaction was approved by the credit company.,success
101, The transaction is rejected by the credit company.,error
102, The transaction failed. There is an error in processing the loan society.,error
103, This credit card transaction is not executed within the maximum allowable time.,error
104, The card has expired.,error
105, Retrieval - Pending,warning
106, Chargeback,warning
120, This PayPal transaction has not been fully processed.,warning
121, Transaction Status: authorization failed,error
122, This PayPal transaction is canceled by the consumer.,error
123, This PayPal transaction is not within the maximum time allowed out.,error
124, This PayPal transaction with PayPal for some reason failed.,error
125, This PayPal transaction is not accepted.,error
126, This PayPal transaction is pending.,warning
135, This PayPal transaction has not been fully processed.,warning
136, For technical reason the status of this transaction with PayPal is not exposed. The transaction may not yet finalized.,warning
137, The depreciation code is invalid.,error
138, There is a system error at PayPal. We apologize for the inconvenience.,error
139, The PayPal transaction ID is invalid or unavailable.,error
150, Paysafecard this transaction is not yet fully processed.,warning
151, Transaction Status: authorization failed,error
152, Paysafecard this transaction was canceled by the consumer.,error
153, Paysafecard this transaction is within the maximum time allowed out.,error
155, Paysafecard this transaction is not accepted.,error
156, Paysafecard this transaction is not yet fully processed.,warning
157, For technical reason the status of this transaction with Paysafecard not be traced. The transaction may not yet finalized.,warning
158, There is a system error with Paysafecard. We apologize for the inconvenience.,error
159, The paysafecard transaction ID is invalid or unavailable.,error
170, These Cash-Ticket transaction is not yet fully processed.,warning
171, Transaction Status: authorization failed,error
172, These Cash-Ticket transaction is canceled by the consumer.,error
173, These Cash-Ticket transactions are not within the maximum time allowed out.,error
175, These Cash-Ticket transactions are not accepted.,error
176, These Cash-Ticket transaction is not yet fully processed.,warning
177, For technical reason the status of this transaction are not with Cash-Ticket will be obsolete. The transaction may not yet finalized.,warning
178, There is a system error occurred at Cash-Ticket. We apologize for the inconvenience.,error
179, The Cash-Ticket transaction ID is invalid or unavailable.,error
190, Success,success
201, There is a timeout occurred while processing the transactie.Gebruik the TransactionKey to re-check the processing status.,error
203, The transaction was declined. The credit card number is blocked.,error
204, The transaction was declined. The IP address is blocked,error
205, The transaction was declined. The country of issuance of this card is blocked,error
206, The transaction was declined. The bill [value] is being or has been paid.,error
207, The transaction was declined. The maximum number of attempts to pay bill [value] is exceeded.,error
242, Commission payment processes guarantee a successful,success
243, Fee collection agency guarantees payment successfully processed,success
244, Buckaroo commission payment processes guarantee a successful,success
245, Cost button collection agency guarantees payment successfully processed,success
246, Tax collection agency guarantees payment successfully processed,success
247, Buckaroo tax payment guarantee successful processing,success
251, guarantee payment request is canceled,error
252, guarantee payment request rejected,error
253, guarantee payment request is not processed,error
254, guarantee payment request processed successfully,success
255, Credit note processed successfully,success
260, Credit control is not active subscription,error
261, Technical error occurred credit check,error
262, Required fields are missing or incorrect credit check,error
264, The payment guarantee payment is reversed.,error
300, Payment for this transfer is still awaited.,warning
